St_ID,St_Flag,Name,Elevation,El_Flag,Long,Lat,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1096630,NA,QUESNEL A,545, ,-122.51,53.02611,52,27,29,28,46,67,64,46,49,57,55,40,560
1096635,NA,QUESNEL MOOS,712, ,-122.5,53.066667,81,30,27,27,44,66,60,45,52,57,59,59,606
1096636,NA,QUESNEL NAZK,762, ,-122.666667,53.016667,66,25,20,18,47,73,56,49,32,43,42,56,526
1096660,NA,RED PASS JUN,1059, ,-119,53,82,41,45,34,40,43,53,54,65,65,88,71,682
1096775,NA,RISKE CREEK,1006, ,-122.516667,52.016667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15,-9999,-9999
1096952,NA,SALMON VAL E,693, ,-122.65,54.133333,-9999,60,-9999,-9999,57,58,55,43,74,95,102,72,-9999
1097370,NA,SINCLAIR MIL,655, ,-121.666667,54.016667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92,127,135,-9999,-9999,-9999
1097646,NA,SPOKIN LAKE,1040, ,-121.6864,52.18389,45,27,30,33,49,73,60,51,47,49,56,48,568
1097888,NA,TACHIE 1SE,683, ,-124.7,54.633333,51,27,-9999,27,39,48,55,38,42,55,61,49,-9999
1097970,NA,TAKLA LANDIN,854, ,-125.966667,55.466667,50,38,32,25,38,53,46,50,48,59,53,60,553
1098318,NA,TWAN CREEK,914, ,-122.616667,52.466667,39,19,17,24,38,66,62,49,37,35,43,40,468
1098328,NA,TYEE LAKE,911, ,-122.083333,52.383333,46,19,18,19,49,64,62,51,44,46,58,54,530
1098490,NA,VANDERHOOF,638, ,-124,54.05,39,27,21,17,36,50,46,35,34,40,42,39,426
1098492,NA,VANDERHOOF 2,677, ,-124,54.033333,-9999,29,26,29,40,54,50,40,48,49,54,45,-9999
1098939,NA,WILLIAMS LAK,614, ,-122.166667,52.133333,-9999,14,19,29,-9999,-9999,42,11,25,28,-9999,-9999,-9999
1098940,NA,WILLIAMS LAK,940, ,-122.0542,52.18306,33,19,18,22,39,59,53,46,42,41,42,36,449
1098943,NA,WILLIAMS LAK,588, ,-122.166667,52.15,34,15,17,29,33,48,42,58,41,32,38,37,424
1098946,NA,WILLIAMS LAK,585, ,-122.15,52.133333,33,14,16,21,34,56,53,46,37,37,37,36,421
1098954,NA,WILLOW RIVER,586, ,-122.466667,54.05,84,46,37,45,52,54,61,60,69,87,72,66,732
1098D90,NA,VANDERHOOF,638, ,-124.0167,54.03333,45,28,24,26,36,57,46,43,44,51,47,44,490
1098DR0,NA,VANDERHOOF B,683, ,-124.266667,54.083333,54,24,-9999,-9999,-9999,55,54,47,44,38,-9999,-9999,-9999
109A4NG,NA,CASTLE ROCK,541, ,-122.4886,52.54139,38,20,18,22,38,56,50,45,37,32,43,38,436
109C0L6,NA,FRASER LAKE,666, ,-124.75,54.116667,-9999,-9999,-9999,-9999,-9999,43,70,-9999,43,-9999,-9999,-9999,-9999
109C0LF,NA,FRASER LAKE,674, ,-124.8472,54.07833,50,30,29,23,42,58,56,49,48,55,51,46,536
109CN9G,NA,HORSEFLY RIV,846, ,-121,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91,-9999,-9999
109E7R6,NA,108 MILE HOU,993, ,-121.4042,51.70483,35,19,19,23,40,62,54,36,36,37,33,39,434
109QJ3G,NA,TETE JAUNE,746, ,-119.533333,53,55,33,42,31,32,64,43,54,43,59,71,62,589
109QR57,NA,WINEGLASS RA,488, ,-122.65,51.85,22,6,8,16,32,53,50,41,30,22,27,23,330
1100030,NA,ABBOTSFORD A,59, ,-122.36,49.02528,215,133,149,118,101,75,46,47,75,154,245,191,1549
1100037,NA,ABBOTSFORD K,61, ,-122.3,49.033333,198,123,145,-9999,-9999,-9999,-9999,-9999,-9999,-9999,225,182,-9999
1100119,NA,AGASSIZ CS,19, ,-121.7603,49.24306,235,146,161,126,108,93,63,62,90,191,286,195,1755
1100120,NA,AGASSIZ CDA,15, ,-121.7597,49.2425,242,138,161,124,103,92,63,62,91,189,282,226,1773
1100130,NA,AGASSIZ MOUN,30, ,-121.833333,49.266667,336,210,191,147,101,89,59,66,78,209,338,280,2102
1100240,NA,ALDERGROVE,76, ,-122.483333,49.116667,235,144,163,117,101,80,51,47,79,163,251,215,1646
1100241,NA,ALDERGROVE 2,60, ,-122.483333,49.033333,223,142,156,133,116,74,52,58,78,175,265,202,1675
1100245,NA,ALDERGROVE 4,85, ,-122.516667,49.083333,-9999,-9999,-9999,123,-9999,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1100360,NA,ALOUETTE LAK,117, ,-122.483333,49.283333,376,249,272,223,178,133,83,76,116,276,420,326,2728
1100440,NA,ANNACIS ISLA,5, ,-122.933333,49.183333,188,127,128,133,72,58,19,32,54,122,239,181,1353
1100875,NA,BLACKCOMB MO,659, ,-122.9546,50.12894,-9999,76,74,51,36,46,31,47,53,122,150,-9999,-9999
1100879,NA,BLACKCOMB MO,1860, ,-122.9,50.1,220,154,187,118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,221,-9999
1100Q7Q,NA,BLACKCOMB MO,1540, ,-122.916667,50.1,185,172,152,114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,221,-9999
1101138,NA,BUNTZEN BAY,10, ,-122.866667,49.383333,480,272,298,242,171,129,87,81,143,329,517,372,3122
1101144,NA,BURNABY BRAN,125, ,-122.966667,49.233333,222,148,150,149,101,79,45,50,80,179,251,-9999,-9999
1101146,NA,BURNABY CAPI,183, ,-122.983333,49.283333,271,175,179,142,109,89,55,58,83,199,304,242,1908
1101147,NA,BURNABY CURT,99, ,-122.966667,49.283333,231,153,162,145,106,-9999,50,47,75,201,296,224,-9999
1101155,NA,BURNABY MTN,137, ,-122.933333,49.266667,266,170,173,145,107,86,54,48,81,186,304,244,1865
1101158,NA,BURNABY SIMO,365, ,-122.918,49.27839,276,175,185,148,116,96,63,62,89,206,321,249,1983
1101166,NA,BURNABY VANC,82, ,-123.016667,49.3,260,154,164,163,106,99,64,53,78,208,282,242,1874
11011MF,NA,BURNABY CARI,13, ,-122.916667,49.25,253,153,161,138,103,76,58,55,83,184,273,213,1750
1101200,NA,BURQUITLAM V,122, ,-122.883333,49.25,263,158,171,135,107,91,57,57,81,195,303,225,1842
1101300,NA,CALLAGHAN VA,884, ,-123.1092,50.14418,-9999,165,208,113,-9999,-9999,53,56,74,243,303,-9999,-9999
1101530,NA,CHILLIWACK,11, ,-121.9247,49.17216,233,122,163,114,97,88,52,60,73,186,279,207,1674
1101540,NA,CHILLIWACK C,6, ,-121.95,49.183333,236,147,149,128,98,87,58,53,75,173,274,235,1713
1101545,NA,CHILLIWACK G,12, ,-121.866667,49.166667,209,134,144,118,103,95,63,59,80,175,256,196,1632
1101564,NA,CHILLIWACK R,488, ,-121.55,49.1,245,136,149,132,98,90,51,59,77,174,264,194,1670
1101565,NA,CHILLIWACK R,369, ,-121.633333,49.1,227,127,124,113,101,90,55,63,74,165,248,197,1585
1101567,NA,CHILLIWACK R,137, ,-121.833333,49.066667,-9999,-9999,148,121,97,98,-9999,58,98,188,240,206,-9999
1101577,NA,CHILLIWACK W,6, ,-121.966667,49.166667,266,163,174,136,99,85,56,56,74,205,304,241,1858
1101580,NA,CHILLIWACK Y,8, ,-121.9,49.183333,216,116,145,105,103,78,57,52,76,175,262,193,1579
1101708,NA,CLOVERDALE E,50, ,-122.7167,49.1,193,113,119,94,85,62,42,47,66,138,209,165,1333
1101889,NA,COQUITLAM CO,160, ,-122.8658,49.26944,276,170,172,140,110,79,56,63,76,168,309,241,1862
1101890,NA,COQUITLAM LA,161, ,-122.8,49.366667,539,334,377,268,186,145,92,86,146,378,621,486,3658
1101N65,NA,CHILLIWACK R,213, ,-121.7,49.08333,212,130,133,110,88,90,56,53,71,164,235,183,1524
1101Q9A,NA,COQUITLAM MU,150, ,-122.833333,49.266667,257,165,180,143,113,97,53,59,82,196,298,241,1885
1101QRJ,NA,COQUITLAM MU,144, ,-122.833333,49.25,276,170,161,138,106,91,55,61,86,194,306,235,1878
1102220,NA,CULTUS LAKE,46, ,-121.983333,49.083333,220,127,148,120,94,78,49,55,70,159,243,187,1550
1102222,NA,CULTUS LAKE,61, ,-122.016667,49.033333,227,144,169,123,117,89,55,62,67,194,276,217,1738
1102253,NA,CYPRESS BOWL,930, ,-123.2,49.4,329,233,230,159,187,132,84,65,109,336,-9999,324,-9999
1102254,NA,CYPRESS BOWL,1210, ,-123.183333,49.4,246,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
1102255,NA,CYPRESS BOWL,953, ,-123.2,49.4,447,284,377,265,193,-9999,127,-9999,158,-9999,-9999,-9999,-9999
1102417,NA,DELTA LADNER,2, ,-123.083333,49.066667,146,91,89,76,57,48,32,33,49,107,168,130,1026
1102419,NA,DELTA OLIVER,2, ,-122.916667,49.083333,-9999,-9999,-9999,72,66,47,37,36,49,-9999,-9999,-9999,-9999
1102422,NA,DELTA SUNSHI,64, ,-122.916667,49.116667,171,-9999,104,98,66,54,33,40,46,115,176,153,-9999
1102425,NA,DELTA TSAWWA,2, ,-123.093333,49.011111,133,80,80,66,50,42,29,30,41,99,146,128,922
1102465,NA,DEROCHE,61, ,-122.066667,49.183333,-9999,-9999,-9999,-9999,-9999,-9999,74,75,117,237,338,-9999,-9999
1102650,NA,ELBOW LAKE,218, ,-121.966667,49.283333,354,219,257,174,125,103,58,45,100,286,464,359,2545
1102F3H,NA,EDENBANK SAR,10, ,-121.966667,49.133333,180,106,127,94,76,84,44,40,65,135,227,168,1345
1103322,NA,HANEY,26, ,-122.6,49.216667,248,166,177,127,117,93,56,55,70,177,273,231,1789
1103324,NA,HANEY CORRL,142, ,-122.516667,49.25,270,179,186,160,135,112,71,72,97,194,312,239,2029
1103326,NA,HANEY EAST,30, ,-122.5583,49.20439,244,156,152,135,113,89,57,62,86,179,271,223,1766
1103332,NA,HANEY UBC RF,147, ,-122.5728,49.265,298,191,198,162,133,104,72,75,102,219,331,250,2135
1103333,NA,HANEY UBC RF,354, ,-122.583333,49.3,340,209,242,198,174,141,105,89,131,270,402,307,2608
1103334,NA,HANEY UBC RF,373, ,-122.55,49.3,286,201,193,166,147,140,87,77,103,219,330,254,2202
1103342,NA,HATZIC LAKE,25, ,-122.25,49.166667,265,167,177,150,130,108,66,64,99,188,293,234,1940
1103510,NA,HOLLYBURN RI,930, ,-123.183333,49.383333,370,252,259,202,190,143,100,94,144,340,443,378,2914
