ID1,ID2,Latitude,Longitude,Elevation
60,CDFmm,48.7783,-123.4533,135
547,CDFmm,49.1867,-123.833298,29
102040,CDFmm,49.271944,-124.257774,81
1048140,CDFmm,49.7,-124.51667,93
1016990,CDFmm,48.85,-123.5,13
1016992,CDFmm,48.816667,-123.48333,128
1016995,CDFmm,48.88806,-123.546402,45
10169DK,CDFmm,48.516667,-123.416664,113
1017098,CDFmm,48.77528,-123.1278,190
1017000,CDFmm,48.883333,-123.566666,20
110031,CDFmm,48.43,-123.468613,0
1011500,CDFmm,48.93418,-123.7407,83
1011920,CDFmm,48.533333,-123.366669,18
1011922,CDFmm,48.516667,-123.366669,17
1012010,CDFmm,48.716667,-123.550003,0
1012475,CDFmm,48.4244,-123.225098,11
1012570,CDFmm,48.766667,-123.683334,11
1012573,CDFmm,48.73472,-123.727501,109
1012655,CDFmm,48.516667,-123.383331,89
1012710,CDFmm,48.43197,-123.439301,0
1013051,CDFmm,48.87172,-123.498199,59
10130MN,CDFmm,48.98528,-123.573601,6
1013720,CDFmm,48.6,-123.349998,55
1014931,CDFmm,48.85,-123.316666,40
1015638,CDFmm,48.8125,-123.316704,22
1016120,CDFmm,48.766667,-123.300003,21
1016641,CDFmm,48.3,-123.533333,0
1016940,CDFmm,48.62167,-123.4189,70
1016942,CDFmm,48.5,-123.400002,29
1022430,CDFmm,49.516667,-124.783333,66
1022436,CDFmm,49.55,-124.800003,63
1022571,CDFmm,48.75585,-123.765297,91
1022689,CDFmm,49.21667,-123.800003,0
1023042,CDFmm,49.15389,-123.733597,49
1024638,CDFmm,49.35278,-124.512199,25
1024642,CDFmm,49.366667,-124.5,0
1017099,CDFmm,48.77531,-123.127899,192
1017101,CDFmm,48.78391,-123.044701,13
1017610,CDFmm,48.75,-123.216667,55
1018610,CDFmm,48.416667,-123.316666,18
1018598,CDFmm,48.457,-123.304604,63
1018611,CDFmm,48.41342,-123.325203,64
1018616,CDFmm,48.516667,-123.51667,219
1018620,CDFmm,48.64694,-123.425797,21
1018640,CDFmm,48.433333,-123.316666,22
1018651,CDFmm,48.483333,-123.400002,25
1018660,CDFmm,48.45,-123.383331,27
1018935,CDFmm,48.33972,-123.538597,10
1018FJ5,CDFmm,48.53383,-123.459099,152
101C0ME,CDFmm,48.883333,-123.349998,45
101HFEE,CDFmm,48.45,-123.26667,0
101QFEG,CDFmm,48.45,-123.366669,21
1020590,CDFmm,49.35028,-124.160301,17
1021850,CDFmm,49.30583,-124.429199,95
1025370,CDFmm,49.05222,-123.8703,29
1025340,CDFmm,49.183333,-123.966667,83
10253P0,CDFmm,49.166667,-123.933334,8
1025970,CDFmm,49.3,-124.300003,77
1025977,CDFmm,49.333333,-124.300003,0
1025C70,CDFmm,49.216667,-123.949997,58
1026562,CDFmm,49.33722,-124.393898,55
1026565,CDFmm,49.39361,-124.617203,6
102BFHH,CDFmm,49.20891,-123.808899,4
102PG75,CDFmm,49.083333,-123.800003,37
1045100,CDFmm,49.4675,-123.912498,13
1046390,CDFmm,49.883333,-124.550003,126
1046400,CDFmm,49.8,-124.51667,0
1046410,CDFmm,49.833333,-124.51667,69
63093,CDFmm,49.37056,-124.616112,116
101317,CDFmm,48.820556,-123.59111,0
101322,CDFmm,48.754444,-123.749168,93
110007,CDFmm,49.112778,-123.035835,4
110008,CDFmm,49.086667,-123.01889,5
110504,CDFmm,49.0225,-122.617775,93
T31,CDFmm,49.186389,-123.152496,3
1084050,CMAun,53.716667,-128.100006,1559
glac25,CMAun,53.21077,-128.414001,1340
glac33,CMAun,53.68407,-127.9925,1650
glac37,CMAun,54.82454,-129.740707,1471
glac38,CMAun,54.73437,-129.438095,1572
glac41,CMAun,56.30215,-130.661407,1414
glac57,CMAun,58.23379,-133.275803,1380
glac71,CMAun,58.57548,-133.221802,1378
4B12P,CMAun,56.25,-129.649994,1832
51125,CMAun,56.09972,-129.751663,1968
1D10,CMAunp,49.8259,-122.059303,1534
WOL,CMAunp,49.680556,-125.741669,1610
3B17,CMAunp,49.7042,-125.679199,1422
1D15P,CMAunp,49.6,-121.182999,1573
3B17P,CMAunp,49.7,-125.667,1744
1D15,CMAunp,49.5994,-121.178001,1664
434A663A,CMAunp,49.68,-125.739998,1528
1108906,CMAunp,50.066667,-122.949997,1787
glac1,CMAunp,49.54158,-125.399101,1563
glac2,CMAunp,50.34805,-123.955902,1814
glac4,CMAunp,49.73277,-121.948898,2023
glac7,CMAunp,51.34237,-126.600098,1429
glac9,CMAunp,50.99264,-125.097198,1855
glac17,CMAunp,52.0379,-126.827797,1643
glac1000,CMAunp,51.51356,-125.262199,1940
glac1001,CMAunp,51.09784,-124.8349,1780
glac1004,CMAunp,51.3154,-126.505096,1490
glac1006,CMAunp,51.4243,-126.799599,1614
glac1007,CMAunp,51.3408,-126.352203,1616
11123,CMAunp,49.47889,-123.189613,1465
25225,CMAunp,49.59582,-121.178047,1733
25229,CMAunp,49.59924,-121.178009,1664
1025237,CMAunp,49.75,-125.2911,1414
1D15P,CMAunp,49.6,-121.182999,1573
3B17P,CMAunp,49.7,-125.667,1744
1108440,CWHdm,49.283333,-123.050003,56
1101889,CWHdm,49.26944,-122.865799,154
1103342,CWHdm,49.166667,-122.25,31
110361F,CWHdm,49.416667,-123.23333,79
1047662,CWHdm,49.683333,-123.166664,0
1046795,CWHdm,49.433333,-123.616669,205
1047660,CWHdm,49.7,-123.133331,30
10476F0,CWHdm,49.78333,-123.161102,60
1047F6B,CWHdm,49.733333,-123.150002,12
1101N65,CWHdm,49.08333,-121.699997,241
1101Q9A,CWHdm,49.266667,-122.833336,117
1102220,CWHdm,49.083333,-121.98333,171
1102222,CWHdm,49.033333,-122.01667,59
535,CWHdm,50,-124,33
ALU,CWHdm,49.287442,-122.486214,127
CLO,CWHdm,49.708333,-123.522224,98
T20,CWHdm,49.245278,-122.709167,4
110507,CWHdm,49.245556,-122.663887,6
112519,CWHdm,49.0975,-121.657501,346
1040911,CWHdm,49.416667,-123.316666,26
1040R09,CWHdm,49.4,-123.333336,334
1040R1J,CWHdm,49.4,-123.366669,47
1041050,CWHdm,49.583333,-123.216667,61
1041710,CWHdm,49.716667,-123.533333,58
1044710,CWHdm,49.8,-124.316666,137
1044840,CWHdm,50.16472,-123.853104,12
1047670,CWHdm,49.733333,-123.150002,12
1047671,CWHdm,49.7,-123.166664,6
1047672,CWHdm,49.9,-123.283333,75
1066JFQ,CWHdm,50.55,-125.366669,0
1100119,CWHdm,49.24306,-121.7603,24
1100120,CWHdm,49.2425,-121.759697,23
1100130,CWHdm,49.266667,-121.833336,81
1101QRJ,CWHdm,49.25,-122.833336,147
1102465,CWHdm,49.183333,-122.066666,13
1103332,CWHdm,49.265,-122.5728,152
1046330,CWHdm,49.51,-123.480003,0
1102650,CWHdm,49.283333,-121.966667,331
1103324,CWHdm,49.25,-122.51667,154
73,CWHdm,49.212474,-122.333473,499
74,CWHdm,49.0983,-121.6633,342
