"BGC","STATION","Latitude","Longitude","Elevation","Name","AHM","MAP","MAT","MCMT","MSP","MWMT","PPT_at","PPT_sm","PPT_sp","PPT_wt","SHM","Tave_at","Tave_sm","Tave_sp","Tave_wt","TD","Tmax_at","Tmax_sm","Tmax_sp","Tmax_wt","Tmin_at","Tmin_sm","Tmin_sp","Tmin_wt"
"ICHmc1","107318",56.020833,-129.17778,269,"FISH LADDER",NA,NA,NA,NA,NA,2.15468,NA,NA,NA,NA,NA,1.50253333333333,2.15088,0.9748,NA,NA,0.99929333333333,2.63768,1.20148,NA,2.00377333333333,1.665,0.74948,NA
"ICHmc2","107077",55.104167,-127.974167,413,"ANDIMAUL LO",NA,NA,0.43789333333333,1.54472,NA,0.55916,NA,NA,NA,NA,NA,-0.0399333333333294,0.611373333333301,0.76416,0.46245333333333,-0.984119999999997,-0.98906666666667,-0.165880000000001,-0.3506,-0.78601333333333,0.908,1.38794666666667,1.88032,1.711
"ICHmc2","107089",55.463889,-128.21666,422,"KITWANGA ASB",NA,NA,NA,NA,NA,-0.890840000000001,NA,NA,NA,NA,NA,-0.3066,-0.971959999999999,-0.61917333333333,NA,NA,-0.122399999999999,-0.599213333333303,-0.583933333333301,-0.35268,-0.492,-1.34538666666667,-0.65301333333333,NA
"ICHmc2","52091",54.74639,-128.261108,124,"Legate Creek",NA,NA,2.33372666666667,3.99472,NA,2.35916,NA,NA,NA,NA,NA,2.1434,2.4113733333333,2.21416,2.61245333333333,-1.63412,1.7442666666667,3.03412,2.8494,1.98065333333333,2.54133333333333,1.78794666666667,1.58032,3.24433333333333
"ICHmc2","1065945",54.766667,-128.266663,119,"PACIFIC",NA,NA,NA,3.29472,NA,1.65916,NA,NA,NA,NA,NA,NA,1.4947066666667,1.63082666666667,2.17912,-1.63412,NA,0.634119999999999,0.949399999999999,1.14732,NA,2.3546133333333,2.31365333333333,3.211
"ICHmc2","1075252",55.483333,-127.833336,374,"MURDER CREEK",NA,NA,-0.10794,0.39472,NA,0.25916,NA,NA,NA,NA,NA,-0.38993333333333,0.344706666666701,0.29749333333333,-0.637546666666671,-0.134119999999999,-0.38906666666667,0.300786666666699,0.716066666666698,-0.71934666666667,-0.392,0.38794666666667,-0.11968,-0.555666666666669
"ICHmk4","36124",49.39,-115.023064,956,"Morrissey",NA,NA,1.5316,1.24932,NA,1.61684,NA,NA,NA,NA,NA,1.09913333333333,1.97416,2.19572,0.93410666666667,0.366720000000001,2.2746,4.1564133333333,3.8012933333333,1.97621333333333,-0.0770933333333299,-0.20765333333333,0.59134666666667,-0.11148
"ICHmw1","37092",51.507,-117.421791,1032,"Nordic 2",NA,NA,0.24512666666667,0.8924,NA,0.735359999999998,NA,NA,NA,NA,NA,-0.14422666666667,0.8415466666667,0.54018666666667,-0.17624,-0.15652,-0.2842,1.0098533333333,0.837586666666699,-0.0687466666666703,-0.00461333333333303,0.67264,0.24290666666667,-0.282493333333301
"ICHmw2","1145303",50.266667,-117.783333,507,"NAKUSP GLENB",NA,NA,NA,2.84196,NA,NA,NA,NA,NA,NA,NA,1.89606666666667,NA,2.76705333333333,1.90397333333333,NA,1.8677333333333,NA,3.27796,1.2952,1.92436,NA,2.25502666666667,2.51330666666667
"ICHmw2","34126",50.04631,-117.179138,1075,"Fish Lake",NA,NA,NA,-1.50804,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48294666666667,-1.59602666666667,NA,NA,NA,0.411293333333299,-0.93813333333333,NA,NA,-1.37830666666667,-2.25336
