STATION,PPT_sp,PPT_sm,PPT_at,PPT_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmax_wt,Tmin_sp,Tmin_sm,Tmin_at,Tmin_wt,Tave_sp,Tave_sm,Tave_at,Tave_wt,MSP,MAP,MAT,MWMT,MCMT,TD,AHM,SHM
1160565,NA,341,263,186,11.73333333,22.56666667,10.6,-1.5,9.24E-17,8.733333333,1.666666667,-7.533333333,5.866666667,15.65,6.133333333,-4.516666667,106.8,NA,5.783333333,16.75,-5.7,22.45,NA,156.835206
1E08P,346,334,532,537,6.3,16.33333333,4.433333333,-5.133333333,-5,4.233333333,-3.366666667,-11.83333333,0.65,10.28333333,0.533333333,-8.483333333,105.4,1749,0.745833333,11.4,-9.6,21,6.14398704,108.1593928
20392,129,175,91,46,11.1,23.5,12.8,1.766666667,-2.566666667,6.566666667,-1.633333333,-11.03333333,4.266666667,15.03333333,5.583333333,-4.633333333,59,441,5.0625,16.4,-5.3,21.7,34.1553288,277.9661017
1070573,87,140,136,114,8.366666667,19.06666667,8.066666667,-2.7,-1.766666667,8.366666667,0.366666667,-9.366666667,3.3,13.71666667,4.216666667,-6.033333333,43.2,477,3.8,14.7,-7.25,21.95,28.93081761,340.2777778
93489,376,227,327,419,6.066666667,17,6.5,-2.866666667,-4.733333333,5.4,-2.1,-10.53333333,0.666666667,11.2,2.2,-6.7,87.4,1349,1.841666667,12.8,-7.45,20.25,8.77810724,146.4530892
92552,NA,NA,NA,NA,11.86666667,26.2,13.66666667,2,1.6,13.93333333,3.733333333,-6.733333333,6.733333333,20.06666667,8.7,-2.366666667,NA,NA,8.283333333,21.85,-2.95,24.8,NA,NA
2845,NA,NA,NA,NA,12.03333333,27.53333333,14.06666667,-1.133333333,-1,12.16666667,-0.566666667,-12.7,5.516666667,19.85,6.75,-6.916666667,NA,NA,6.3,21.55,-7.75,29.3,NA,NA
20394,96,144,71,26,13.63333333,28.83333333,14.83333333,-0.133333333,-1.20E-16,12.76666667,0.066666667,-12.16666667,6.816666667,20.8,7.45,-6.15,45,337,7.229166667,22.5,-7.35,29.85,51.12512364,500
423,NA,NA,NA,NA,-1.666666667,10.33333333,-0.233333333,-7.233333333,-6.8,3.3,-5,-11.7,-4.233333333,6.816666667,-2.616666667,-9.466666667,NA,NA,-2.375,9.05,-10.85,19.9,NA,NA
99003,100,158,74,17,12.6,28,14.46666667,-0.766666667,-1.333333333,11.53333333,-0.6,-13.03333333,5.633333333,19.76666667,6.933333333,-6.9,49.2,349,6.358333333,21.45,-7.85,29.3,46.87201528,435.9756098
3070480,NA,256,NA,NA,NA,19.73333333,NA,NA,NA,8.4,NA,NA,NA,14.06666667,NA,NA,NA,NA,NA,15.15,NA,NA,NA,NA
1180585,87,196,106,68,8.366666667,20.83333333,6.4,-7.5,-2.533333333,8.766666667,-2.466666667,-15.53333333,2.916666667,14.8,1.966666667,-11.51666667,56.6,457,2.041666667,15.9,-13.15,29.05,26.34938001,280.9187279
119062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109019,NA,NA,NA,NA,7.4,18.56666667,5.6,-4.533333333,-1.266666667,9.3,-0.466666667,NA,3.066666667,13.93333333,2.566666667,NA,NA,NA,NA,14.85,NA,NA,NA,NA
3050490,NA,279,NA,NA,NA,13.2,NA,NA,NA,4.633333333,NA,NA,NA,8.916666667,NA,NA,NA,NA,NA,10.05,NA,NA,NA,NA
20396,118,112,83,33,15.83333333,29.5,16.6,3.366666667,0.466666667,12.03333333,0.133333333,-10.06666667,8.15,20.76666667,8.366666667,-3.35,41.2,346,8.483333333,22.45,-4.25,26.7,53.42003854,544.9029126
1020590,151,82,228,281,NA,21.16666667,14.3,8,6.866666667,13.46666667,8.233333333,2.833333333,NA,17.31666667,11.26666667,5.416666667,31.6,742,NA,18.25,5,13.25,NA,577.5316456
1030605,659,215,856,1126,12.4,17.93333333,13.96666667,8.466666667,4.633333333,10.3,6.333333333,2.066666667,8.516666667,14.11666667,10.15,5.266666667,90.6,2856,9.5125,15,4.8,10.2,6.832107843,165.5629139
